lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
3825,8336,1436,7570,1269,1563,200762,101437,53,27
10052,13879,9051,7467,12285,3422,627820,79246,47,50
47799,15280,9780,14585,8096,3378,150042,91397,78,51
20148,21220,9484,21263,7947,5135,1467626,131134,56,40
3638,5564,3117,4899,3909,3028,54006,70653,37,43
3638,5564,3117,4899,3909,3028,54006,70653,37,43
31901,28745,10108,40347,18737,8970,1071992,556065,43,38
3676,13574,2866,15550,7339,2856,455032,9997,51,56
30849,12996,27133,38155,16829,11514,2217139,273460,37,63
2093,6429,11263,31480,11355,5967,17467,7883,26,67
2093,6429,11263,31480,11355,5967,17467,7883,26,67
2093,6429,11263,31480,11355,5967,17467,7883,26,67
94720,25567,10669,15963,6452,5899,327247,132559,74,43
12737,3940,7766,4735,8002,3514,469381,14614,64,48
26177,10315,2647,6652,2331,1219,203241,35349,70,35
11100,15364,15559,13522,2985,4852,17243,30672,61,48
28611,6823,8514,7614,4487,2306,36874,51954,61,38
3751,1355,1110,1677,676,237,310926,20389,53,34
26325,5866,2195,6507,2388,4643,123598,29190,53,37
26325,5866,2195,6507,2388,4643,123598,29190,53,37
10756,15198,5916,17747,8693,4247,379194,41353,63,37
10756,15198,5916,17747,8693,4247,379194,41353,63,37
7716,1045,4792,4007,4085,1171,8290,6178,96,41
4198,3277,6123,6222,2782,1750,4388,9106,74,57
32149,1805,2894,9735,4923,3200,185377,161071,63,53
32149,1805,2894,9735,4923,3200,185377,161071,63,53
3059,6125,6169,1642,1987,701,612107,14133,51,35
3904,7230,1262,3796,3649,1679,555677,5526,66,38
7596,5044,6682,7730,9669,5179,5318,3432,70,54
7596,5044,6682,7730,9669,5179,5318,3432,70,54
3090,9707,6812,6051,4963,2753,7243,2500,64,81
8100,4185,5971,9001,6533,2367,9875,11563,75,81
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
2845,3314,6578,5816,6041,4133,6629,8503,53,74
3578,15942,13449,12125,12958,5377,8182,3295,0,0
8717,4012,8413,3812,9126,2643,8063,12293,0,0
6971,10100,5665,4280,4659,3140,18191,3222,75,44
6971,10100,5665,4280,4659,3140,18191,3222,75,44
302271,315788,281634,211994,67727,21651,821542,91864,69,40
7798,26420,9122,7273,12707,6168,86722,27774,75,50
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
1057,9374,13428,14937,8106,6091,33208,13413,43,63
170565,68090,50595,61390,22784,5643,607673,309655,0,0
170565,68090,50595,61390,22784,5643,607673,309655,0,0
6529,14568,30373,23252,4452,6726,1097174,230809,30,35
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
40314,20140,10800,27363,22688,4543,1029618,115053,50,38
