lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
93195,208000,206753,69726,185082,62301,1005459,222343,200,0,0
85764,83911,250296,56575,20073,77771,409882,192196,200,0,0
408341,209885,434561,88655,76413,50089,828935,232409,200,0,0
792239,178729,109600,84210,22989,31989,661208,721476,200,0,0
53376,158457,238578,134394,76495,122860,635235,489884,200,0,0
126610,66097,207921,168048,207585,98442,764480,260373,200,0,0
175269,33856,150150,106588,93847,70170,254751,779718,200,0,0
162720,17777,82170,112856,171802,65418,1226844,977570,200,0,0
162720,17777,82170,112856,171802,65418,1226844,977570,200,0,0
18124,16546,118208,183963,114868,79686,643623,335147,200,0,0
142757,22398,689633,55000,51162,51852,260769,306955,200,0,0
68073,58706,82863,114183,72524,75599,372122,363405,200,0,0
6660,147048,74945,104748,70467,72654,247700,782688,200,0,0
179787,41013,143265,74749,52832,134530,1206541,311541,200,0,0
252033,89540,243202,175487,113472,144699,163586,779821,200,0,0
122669,50853,194019,157634,374049,120076,500551,280073,200,0,0
95788,30906,217610,70048,94969,127177,285581,265362,200,0,0
151171,46564,196515,83998,42818,51807,84135,185492,200,0,0
248792,86409,185663,72570,74670,69032,333070,244722,200,0,0
75488,185809,171849,135805,113835,71833,811959,305203,200,0,0
280992,130865,34262,142983,58794,174109,580190,314479,200,0,0
122680,233968,450052,181592,111342,72863,171996,632943,200,0,0
62178,36290,31128,26108,18090,10195,154291,110794,200,0,0
109575,99107,297551,317179,93281,52208,433145,969468,200,0,0
166111,73946,52792,192628,179929,79859,648071,276228,200,0,0
132269,311078,203497,67350,70248,126579,903807,47795,200,0,0
26801,186118,128748,146814,83198,182413,688640,468408,200,0,0
48506,39218,308543,325295,151652,112426,664307,281729,200,0,0
286050,184605,55747,137318,52953,79617,459310,678024,200,0,0
323977,332552,167844,233165,49328,75142,584307,817597,200,0,0
113943,52416,188868,186228,90328,95873,341670,740182,200,0,0
238604,97066,434351,86127,67852,66961,774073,353944,200,0,0
305290,222549,174002,154360,32004,43609,239483,608493,200,0,0
116685,15632,215481,158428,105384,141731,665580,474713,200,0,0
104267,123302,120877,49865,68384,25739,583738,583305,200,0,0
334896,92341,208392,60021,52607,83601,521840,77061,200,0,0
181775,204274,396179,180424,53122,79939,631563,351011,200,0,0
155871,81871,277338,130361,61796,124409,599084,344270,200,0,0
155871,81871,277338,130361,61796,124409,599084,344270,200,0,0
484272,72834,216714,102050,131771,130655,374120,451062,200,0,0
168232,148900,190678,74599,81838,110766,1682482,497249,200,0,0
155266,20329,233299,95037,55997,95607,1255824,528260,200,0,0
541428,69853,374759,168825,92643,154940,205688,373556,200,0,0
90184,305116,306322,130240,59269,61632,725529,1263870,200,0,0
57351,52510,237396,72051,104996,140876,297015,275865,200,0,0
370210,21848,181441,164204,226047,72620,213075,1184590,200,0,0
350820,68562,102330,102989,89707,67249,568878,388352,200,0,0
209789,95142,394327,123266,54682,53565,892766,542595,200,0,0
137188,22053,208400,68944,34132,165732,571595,601603,200,0,0
215325,70824,122009,219238,33671,40418,511645,232462,200,0,0
316461,240374,408045,173890,107937,203188,420932,144599,200,0,0
77548,12777,147423,41412,14962,16512,130729,56800,200,0,0
160265,131682,257975,137409,89060,96649,374454,239644,200,0,0
307015,29315,440693,78855,55981,32201,978527,228949,200,0,0
128398,81541,332751,62892,66251,187622,266081,287840,200,0,0
286704,366852,214632,112505,73054,76783,633638,299252,200,0,0
358083,57905,332147,204425,143576,61901,1252457,526259,200,0,0
128492,25935,196270,141395,60354,142672,709840,759946,200,0,0
165318,120580,139995,71970,21514,237739,1200941,416519,200,0,0
88663,51577,242458,103720,69800,190399,342597,508913,200,0,0
173646,20712,211014,188480,143802,67702,393170,503008,200,0,0
212121,56538,120503,132143,81356,151271,671979,395486,200,0,0
398949,19807,141084,85994,44577,80848,397208,1018672,200,0,0
64716,305669,267771,133419,91446,119574,171790,882066,200,0,0
320040,44748,225489,117409,187595,118121,206423,672978,200,0,0
316980,39024,217504,142054,141636,48543,730603,524317,200,0,0
121079,68710,634892,263196,140309,44155,483578,761099,200,0,0
690062,161611,311561,172197,51842,39851,873705,372777,200,0,0
69495,87174,243572,62767,41115,81401,307250,997067,200,0,0
444527,107880,286492,60986,36042,103499,190178,513116,200,0,0
254069,62683,209261,249847,119530,125683,1757875,280581,200,0,0
450068,106351,222702,92237,80690,144285,191796,330230,200,0,0
236517,109590,257166,113417,171401,196079,360851,313161,200,0,0
106171,259555,238849,103741,134292,100047,180979,686624,200,0,0
432680,62297,180965,49591,65577,75576,568503,777756,200,0,0
351732,17468,325741,115076,123059,127437,774717,457634,200,0,0
351732,17468,325741,115076,123059,127437,774717,457634,200,0,0
124720,10811,524782,160934,187387,96349,325479,174506,200,0,0
205542,96927,107580,70208,46843,91604,382501,1255119,200,0,0
224262,105086,100312,92320,56354,49472,964457,484449,200,0,0
151316,174797,166871,121409,148295,60431,952309,592815,200,0,0
276984,24028,230695,158398,141869,208759,1354279,302368,200,0,0
198846,73138,397437,72115,59314,74154,327361,848951,200,0,0
327242,66738,275539,206003,100100,62505,327552,833987,200,0,0
142388,112223,253406,138977,78189,133189,567277,528754,200,0,0
15211,22847,17095,11522,40548,16516,190313,176503,200,0,0
15211,22847,17095,11522,40548,16516,190313,176503,200,0,0
382109,73338,108225,141578,129693,70677,1208663,685254,200,0,0
192381,49254,517089,157067,66083,141984,542866,222990,200,0,0
248899,56359,316619,255718,116042,61119,793952,295039,200,0,0
302900,107002,178673,39962,57076,44560,1301488,281762,200,0,0
