delta,theta,alpha,beta,gama,Color
-0.441554735019,-113.36033917,-25.3535051218,-2.82745307667,-10.2877669,red
-10.0218357003,-102.688441915,-44.1541874712,1.38174216267,-11.2698649827,red
-20.37247991,-90.5276427832,-60.2226850702,6.40270890314,-1.02407244552,red
-31.4669367116,-77.2169420389,-72.5091770556,12.3685367288,11.293628832,red
-43.2781872519,-63.1013156482,-80.2342510295,18.4832316356,13.6342966224,red
-55.7790385617,-48.5214646316,-82.9515477631,22.9759460001,3.95668388899,red
-68.9423558082,-33.8043443242,-80.5817451193,23.6788562584,-7.8813430916,red
-82.7412289038,-19.2547585218,-73.4148198248,19.035312703,-11.0870775049,red
-97.1490668684,-5.14824897943,-62.0806022394,9.07683313876,-4.84431782034,red
-112.13961447,8.27454625873,-47.4907300004,-4.16787171779,2.62660992464,red
-2.55815177404e-07,-2.55815177404e-07,-2.6656985983e-06,-0.000634169622768,-0.00207947028103,blue
-3.48438475891e-06,-3.45575550892e-06,-3.47793029505e-05,-0.00708309833489,-0.0161961154422,blue
-2.29237375121e-05,-2.24802625575e-05,-0.000216066822761,-0.0355191090086,-0.0419478601279,blue
-9.88909884918e-05,-9.55233046401e-05,-0.000864676876117,-0.105285857651,-0.00473242270001,blue
-0.000320450196483,-0.000303503625913,-0.00254467863416,-0.20006314334,0.194920311923,blue
-0.000845412104028,-0.00078103219608,-0.00594872407377,-0.229165796891,0.374940967017,blue
-0.00191449497341,-0.00171545197888,-0.0116018949879,-0.0562246787122,0.0157504948367,blue
-0.00385791837394,-0.00333207795622,-0.0194638415522,0.389423549674,-0.940333566708,blue
-0.00709325838182,-0.00586563643146,-0.0285523516937,0.99293499251,-1.36842772842,blue
-0.0121147445808,-0.00952055703812,-0.0367340213242,1.4311103584,-0.00942959407995,blue
-0.0194757470144,-0.0144253915447,-0.0408125534733,1.30104917766,2.40310153951,blue
-0.0297678674161,-0.0205888702306,-0.0369924743855,0.354730204164,3.06090714328,blue
