lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
5038,10841,4739,7308,4560,6028,319605,135730,17,81
6759,15403,9305,14303,8841,11540,32653,43370,29,57
6759,15403,9305,14303,8841,11540,32653,43370,29,57
31640,35486,15892,14229,4694,4666,1122880,76917,67,63
2775,6208,14657,20599,5771,5272,332335,16296,60,81
13984,11890,17620,19761,12235,1401,374002,87798,43,87
13984,11890,17620,19761,12235,1401,374002,87798,43,87
1635,19740,15099,19477,11755,6284,33168,30756,43,91
11605,6413,17846,25102,17257,9105,235480,35109,47,91
11605,6413,17846,25102,17257,9105,235480,35109,47,91
12541,17529,15718,19070,31450,26175,45593,37458,30,41
74334,24396,12997,24305,15468,8713,291295,63090,53,48
21204,41718,8241,27632,16217,5546,247113,57191,61,81
7759,8589,9562,14499,15040,34242,11321,9408,60,94
7759,8589,9562,14499,15040,34242,11321,9408,60,94
9768,16715,5607,18638,14293,2642,11811,11712,54,80
2350,2551,8185,11073,5778,1950,163673,16346,48,100
2350,2551,8185,11073,5778,1950,163673,16346,48,100
103167,211840,40251,62170,41635,19364,688271,1204868,26,57
12698,7967,2782,13209,18220,10306,806869,135742,35,30
38227,23311,16595,5649,31565,19392,582182,125964,44,17
22329,13156,30915,15381,17748,9705,163402,202026,47,24
2524,421,262,458,318,130,36362,2949,57,34
11128,18627,7246,14870,3379,1826,312055,11443,64,54
8391,5907,2275,4989,3586,1623,1283880,7690,75,61
8391,5907,2275,4989,3586,1623,1283880,7690,75,61
3432,87101,38616,55962,49243,33222,986515,278239,63,56
59127,40124,10076,24625,7739,3237,1228185,139228,69,56
8782,1511,2283,2491,3373,929,67469,17025,64,64
20980,6373,37892,10039,8074,3857,881911,28836,61,63
20980,6373,37892,10039,8074,3857,881911,28836,61,63
49155,30581,34960,49161,37666,8323,2183593,497362,27,47
5286,1907,3080,3994,5440,1401,133671,18066,35,75
4875,3445,2686,2376,700,328,75774,20085,44,63
4875,3445,2686,2376,700,328,75774,20085,44,63
6552,1910,2742,6482,1954,2918,48314,8170,50,56
21228,9942,15102,6434,5480,1650,66073,58451,57,61
21228,9942,15102,6434,5480,1650,66073,58451,57,61
3087,17567,6378,8569,24995,2598,28191,33848,54,80
34524,17799,4415,18092,20331,12882,128293,39396,63,75
5847,59711,26228,24138,18810,3443,16081,96025,63,54
15054,16053,13815,7761,3978,3994,20297,52672,47,54
6926,10139,17367,6844,12050,2716,417632,21293,63,69
9555,1370,5585,3140,2124,4396,279285,76595,43,63
9555,1370,5585,3140,2124,4396,279285,76595,43,63
56730,22565,35453,29120,7174,3445,212272,238944,48,75
1897,2124,4562,8746,1912,498,359063,75116,23,64
11154,43505,71527,17329,6066,1674,915393,654228,16,48
38381,23142,6294,11894,3432,1739,350869,91854,26,35
38381,23142,6294,11894,3432,1739,350869,91854,26,35
14460,20413,21483,39367,11250,11808,1084803,29895,51,77
36259,77750,25403,18658,7323,1804,1269011,151067,64,77
36259,77750,25403,18658,7323,1804,1269011,151067,64,77
8349,4200,9050,5796,3105,1279,820235,58979,50,41
5767,17337,124920,17400,17915,8145,1351532,206258,21,43
92825,68130,31056,34227,2680,4707,1457193,484168,30,50
3813,4587,2703,4674,662,986,136753,9342,43,66
3813,4587,2703,4674,662,986,136753,9342,43,66
8082,6746,4346,15592,4084,3301,507786,14043,56,77
25140,15923,14750,33301,8144,11436,1370010,89720,44,70
29127,8171,6500,8867,8074,2432,729036,42549,53,57
53287,48929,73821,23336,21884,6391,1868765,132354,54,63
53287,48929,73821,23336,21884,6391,1868765,132354,54,63
24451,15294,21703,11214,15197,5779,170798,314790,57,34
5563,23034,6286,13112,6349,5417,1530526,83710,51,47
20727,106005,62711,9535,29541,13485,2924841,403322,48,34
19961,12386,5485,2929,2973,2132,348185,114586,40,13
32061,20444,12838,6258,4465,475,630407,95572,44,21
4936,2726,1489,1314,717,637,113713,10311,53,17
4936,2726,1489,1314,717,637,113713,10311,53,17
1042,1697,2668,3868,3646,1483,213818,29548,27,41
