delta,theta,alpha,beta,gama,Raw Data,Color
14.9724980016,8.44548168691,26.8148159188,-4.04444520621,-36.6067379919,384,blue
15.7908347252,8.52270695407,32.5728595961,-6.46453294372,-1.28467529104,-25,blue
16.710899535,8.25751211125,36.0527105193,-9.5037262647,30.4987617389,53,blue
17.7395575225,7.6283441202,36.7800366639,-11.4373017244,30.6991265494,390,blue
18.8825587932,6.6278731795,34.5003429605,-10.8543005082,6.68532602932,-171,blue
20.1444971018,5.26432701278,29.2138529316,-7.54479925903,-13.8851846517,333,blue
21.5287991015,3.5621865443,21.1875868968,-2.6528863812,-15.7666900835,40,blue
23.03773196,1.56217050145,10.9426296224,1.90406508564,-7.01212242364,-53,blue
24.6724166882,-0.679531145854,-0.782954176999,4.40680652846,-1.44317913879,425,blue
26.4328417771,-3.09277192477,-13.0925489866,4.20887357259,-0.551061641935,-155,blue
