lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
7040,19657,19389,17955,2949,2453,1052298,80452,51,47
7040,19657,19389,17955,2949,2453,1052298,80452,51,47
141270,169349,85900,94147,37792,9653,1667226,206389,51,53
154727,32981,46612,20487,9679,5345,1321533,277108,63,27
154727,32981,46612,20487,9679,5345,1321533,277108,63,27
42571,13972,11489,11626,3594,3703,617370,138242,38,35
42571,13972,11489,11626,3594,3703,617370,138242,38,35
30396,23881,8043,11793,13087,4626,810753,640218,37,16
99995,23452,14275,14406,5377,4063,762032,164326,40,21
90340,55250,25672,31303,12002,7259,1738270,265559,64,35
90340,55250,25672,31303,12002,7259,1738270,265559,64,35
29247,22010,10168,9116,5582,2186,74412,330666,41,16
77494,32222,77702,19406,21150,7048,1182518,35416,56,26
103867,100635,23429,18113,50551,17585,831800,78248,77,43
2148,20264,16517,7580,20904,7635,706051,77539,78,43
116932,139925,115420,31342,63003,42536,1323208,650405,50,24
116932,139925,115420,31342,63003,42536,1323208,650405,50,24
574712,240950,131996,123261,51226,40124,1015313,475567,60,50
17337,4099,10321,4610,3403,1290,414778,95971,53,48
17337,4099,10321,4610,3403,1290,414778,95971,53,48
253150,156402,86143,108012,28077,16800,380199,317549,44,17
111415,94288,68821,56069,35822,21012,1363441,1220292,53,35
111415,94288,68821,56069,35822,21012,1363441,1220292,53,35
12398,20116,27971,18791,21711,10795,420195,595834,37,8
12398,20116,27971,18791,21711,10795,420195,595834,37,8
263594,104446,66295,46945,39326,16375,738788,244974,63,30
263594,104446,66295,46945,39326,16375,738788,244974,63,30
2277,8679,2699,2299,2655,1045,453908,10671,56,53
11867,30246,10186,21998,24963,2559,588828,72185,54,53
2076,3949,8561,3731,4214,1708,69095,108667,14,44
2076,3949,8561,3731,4214,1708,69095,108667,14,44
12654,8153,2542,13765,12227,5611,595535,27707,35,21
41440,34744,17197,17372,16731,6731,374732,137482,44,63
27094,3501,2745,4924,2505,2211,1155785,151210,24,34
685,725,1213,1948,1241,294,43154,12324,26,48
96976,8774,22177,12429,4285,4281,1385922,93889,53,56
214533,89142,34606,19746,20276,24997,508217,247334,75,37
525544,383989,199099,117023,55496,27084,320850,659423,53,38
525544,383989,199099,117023,55496,27084,320850,659423,53,38
11555,24510,70176,49565,16440,3176,1113561,174351,40,84
11555,24510,70176,49565,16440,3176,1113561,174351,40,84
11555,24510,70176,49565,16440,3176,1113561,174351,40,84
12464,20889,25676,10846,16301,16403,621120,84800,37,38
122259,81470,25404,35383,50922,12325,1067713,401875,41,38
4350,1982,8183,11936,3476,3826,85481,126568,40,50
9337,7610,4657,5082,2135,2972,553443,35012,41,37
23157,7186,18935,14713,13002,6836,686961,197820,24,29
380478,220599,33949,93414,28996,6893,230148,753243,30,38
380478,220599,33949,93414,28996,6893,230148,753243,30,38
6054,11231,2974,9510,2873,3434,798972,54875,51,69
6054,11231,2974,9510,2873,3434,798972,54875,51,69
102723,93608,69846,36631,30346,16905,1456003,498961,74,44
152441,410471,427085,97048,46302,41708,1923393,680291,63,41
38282,9703,4319,7623,13486,2759,338710,44843,56,43
108389,47241,18398,12540,5620,1978,273113,116415,64,38
70801,12866,84960,31553,29104,17021,381791,373950,67,51
8886,2959,5563,6110,5035,3514,230526,22871,38,56
5290,4320,3040,3353,1945,966,721718,31880,41,56
22792,45130,41557,23189,12132,11861,498602,122088,30,43
30419,7429,5516,4919,11821,1841,1232372,46375,43,40
30419,7429,5516,4919,11821,1841,1232372,46375,43,40
166088,63183,47010,40725,29596,5581,1716673,926777,48,26
7773,2679,4753,1777,1707,1183,222668,43635,48,35
7773,2679,4753,1777,1707,1183,222668,43635,48,35
67140,46940,60609,43299,36839,8537,790396,657900,27,17
11280,6507,6820,4885,9787,1269,1080721,24929,37,29
27090,20304,34066,10394,19607,6511,160445,93601,51,41
63924,57139,26923,32267,22608,8498,417773,155169,44,50
10117,34600,28295,27182,20278,9361,473707,156536,53,51
4594,35293,17864,13974,9019,1835,1039509,58593,51,53
4594,35293,17864,13974,9019,1835,1039509,58593,51,53
31023,31516,10525,15107,12448,3973,870717,43281,60,63
31023,31516,10525,15107,12448,3973,870717,43281,60,63
